SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,HOME,WIN,WL,PTS,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PLUS_MINUS,PTS_roll5,FG_PCT_roll5,FG3_PCT_roll5,FT_PCT_roll5,REB_roll5,AST_roll5,TOV_roll5,PLUS_MINUS_roll5,PTS_roll10,FG_PCT_roll10,FG3_PCT_roll10,FT_PCT_roll10,REB_roll10,AST_roll10,TOV_roll10,PLUS_MINUS_roll10,REST_DAYS
22019,0021900014,2019-10-24,1610612737,ATL,0,1,W,117,86,44,0.512,31,11,0.355,21,18,0.857,8,34,42,27,13,9,2,17,,,,,,,,,,,,,,,,,3.0
22019,0021900028,2019-10-26,1610612737,ATL,1,1,W,103,84,43,0.512,30,9,0.3,15,8,0.533,9,43,52,22,18,5,9,4,117.0,0.512,0.355,0.857,42.0,27.0,13.0,17.0,117.0,0.512,0.355,0.857,42.0,27.0,13.0,17.0,2.0
22019,0021900043,2019-10-28,1610612737,ATL,1,0,L,103,84,36,0.429,27,9,0.333,32,22,0.688,8,37,45,23,21,12,3,-2,110.0,0.512,0.3275,0.6950000000000001,47.0,24.5,15.5,10.5,110.0,0.512,0.3275,0.6950000000000001,47.0,24.5,15.5,10.5,2.0
22019,0021900052,2019-10-29,1610612737,ATL,0,0,L,97,83,35,0.422,39,11,0.282,24,16,0.667,9,24,33,28,20,14,7,-15,107.66666666666667,0.48433333333333334,0.3293333333333333,0.6926666666666667,46.333333333333336,24.0,17.333333333333332,6.333333333333333,107.66666666666667,0.48433333333333334,0.3293333333333333,0.6926666666666667,46.333333333333336,24.0,17.333333333333332,6.333333333333333,1.0
22019,0021900066,2019-10-31,1610612737,ATL,1,0,L,97,88,36,0.409,34,7,0.206,26,18,0.692,16,34,50,20,16,5,5,-9,105.0,0.46875,0.3175,0.68625,43.0,25.0,18.0,1.0,105.0,0.46875,0.3175,0.68625,43.0,25.0,18.0,1.0,2.0
22019,0021900099,2019-11-05,1610612737,ATL,1,1,W,108,90,43,0.478,30,11,0.367,16,11,0.688,9,39,48,22,18,9,5,8,103.4,0.4568,0.2952,0.6874,44.4,24.0,17.6,-1.0,103.4,0.4568,0.2952,0.6874,44.4,24.0,17.6,-1.0,5.0
22019,0021900105,2019-11-06,1610612737,ATL,1,0,L,93,74,30,0.405,30,6,0.2,35,27,0.771,6,35,41,18,24,7,3,-20,101.6,0.45,0.2976,0.6536000000000001,45.6,23.0,18.6,-2.8,104.16666666666667,0.4603333333333333,0.30716666666666664,0.6875,45.0,23.666666666666668,17.666666666666668,0.5,1.0
22019,0021900119,2019-11-08,1610612737,ATL,1,0,L,109,87,46,0.529,28,9,0.321,14,8,0.571,11,23,34,23,13,8,6,-12,99.6,0.4286,0.27759999999999996,0.7011999999999999,43.4,22.2,19.8,-7.6,102.57142857142857,0.4524285714285714,0.29185714285714287,0.6994285714285714,44.42857142857143,22.857142857142858,18.571428571428573,-2.4285714285714284,2.0
22019,0021900138,2019-11-10,1610612737,ATL,0,0,L,113,104,42,0.404,41,11,0.268,25,18,0.72,11,37,48,21,16,11,8,-11,100.8,0.4486,0.2752,0.6778000000000001,41.2,22.2,18.2,-9.6,103.375,0.46199999999999997,0.2955,0.683375,43.125,22.875,17.875,-3.625,2.0
22019,0021900150,2019-11-12,1610612737,ATL,0,1,W,125,83,44,0.53,34,15,0.441,34,22,0.647,10,35,45,30,15,1,5,4,104.0,0.445,0.27240000000000003,0.6883999999999999,44.2,20.8,17.4,-8.8,104.44444444444444,0.4555555555555555,0.29244444444444445,0.6874444444444444,43.666666666666664,22.666666666666668,17.666666666666668,-4.444444444444445,2.0
22019,0021900165,2019-11-14,1610612737,ATL,0,0,L,112,91,40,0.44,31,8,0.258,30,24,0.8,15,34,49,25,22,15,5,-16,109.6,0.4692,0.3194,0.6794,43.2,22.8,17.2,-6.2,106.5,0.46299999999999997,0.3073,0.6834,43.8,23.4,17.4,-3.6,2.0
22019,0021900182,2019-11-16,1610612737,ATL,0,0,L,101,90,34,0.378,24,6,0.25,37,27,0.73,14,24,38,19,19,11,10,-49,110.4,0.46159999999999995,0.2976,0.7018,43.4,23.4,18.0,-11.0,106.0,0.4558000000000001,0.2976,0.6777,44.5,23.2,18.3,-6.9,2.0
22019,0021900188,2019-11-17,1610612737,ATL,0,0,L,101,86,37,0.43,28,8,0.286,25,19,0.76,9,28,37,16,20,11,2,-21,112.0,0.45620000000000005,0.3076,0.6936,42.8,23.6,17.0,-16.8,105.8,0.4424,0.2926,0.6974,43.1,22.9,18.4,-12.2,1.0
22019,0021900204,2019-11-20,1610612737,ATL,1,0,L,127,96,44,0.458,31,14,0.452,31,25,0.806,9,34,43,27,13,8,2,-8,110.4,0.4364,0.30060000000000003,0.7314,43.4,22.2,18.4,-18.6,105.6,0.4425,0.2879,0.7045999999999999,42.3,22.2,18.3,-14.1,3.0
22019,0021900215,2019-11-22,1610612737,ATL,0,0,L,103,88,38,0.432,37,10,0.27,17,17,1.0,10,24,34,26,20,12,2,-25,113.2,0.44720000000000004,0.3374,0.7486,42.4,23.4,17.8,-18.0,108.6,0.44610000000000005,0.3049,0.7184999999999999,43.3,22.1,17.6,-13.4,2.0
22019,0021900228,2019-11-23,1610612737,ATL,1,0,L,116,90,47,0.522,34,14,0.412,11,8,0.727,8,30,38,32,15,9,7,-3,108.8,0.4276,0.3032,0.8192,40.2,22.6,18.8,-23.8,109.2,0.4484,0.3113,0.7493,41.7,22.7,18.0,-15.0,1.0
22019,0021900243,2019-11-25,1610612737,ATL,1,0,L,113,94,41,0.436,32,10,0.313,26,21,0.808,9,33,42,26,18,6,4,-12,109.6,0.44399999999999995,0.33399999999999996,0.8046,38.0,24.0,17.4,-21.2,110.0,0.45280000000000004,0.31579999999999997,0.7532,40.7,23.7,17.7,-16.1,2.0
22019,0021900261,2019-11-27,1610612737,ATL,0,0,L,102,94,38,0.404,34,11,0.324,22,15,0.682,14,35,49,22,19,4,5,-9,112.0,0.4556,0.3466,0.8202,38.8,25.4,17.2,-13.8,112.0,0.4559,0.3271,0.7569,40.8,24.5,17.1,-15.3,2.0
22019,0021900272,2019-11-29,1610612737,ATL,0,0,L,104,90,39,0.433,32,9,0.281,18,17,0.944,10,38,48,14,24,10,3,-1,112.2,0.45039999999999997,0.35419999999999996,0.8046000000000001,41.2,26.6,17.0,-11.4,111.3,0.4434,0.3274,0.768,42.3,24.4,17.7,-15.0,2.0
22019,0021900282,2019-11-30,1610612737,ATL,0,0,L,111,89,38,0.427,46,15,0.326,25,20,0.8,8,21,29,26,14,5,2,-47,107.6,0.44539999999999996,0.32,0.8322,42.2,24.0,19.2,-10.0,110.4,0.44630000000000003,0.3287,0.7904000000000001,42.3,23.7,18.5,-14.0,1.0
22019,0021900295,2019-12-02,1610612737,ATL,1,1,W,104,89,41,0.461,29,8,0.276,15,14,0.933,11,27,38,21,15,13,4,25,109.2,0.4444,0.33120000000000005,0.7922,41.2,24.0,18.0,-14.4,109.0,0.43600000000000005,0.31720000000000004,0.8057000000000001,40.7,23.3,18.4,-19.1,2.0
22019,0021900309,2019-12-04,1610612737,ATL,1,0,L,118,90,48,0.533,26,9,0.346,21,13,0.619,9,26,35,24,16,8,9,-12,106.8,0.43220000000000003,0.30400000000000005,0.8333999999999999,41.2,21.8,18.0,-8.8,108.2,0.43810000000000004,0.319,0.819,39.6,22.9,17.7,-15.0,2.0
22019,0021900336,2019-12-08,1610612737,ATL,0,1,W,122,91,44,0.484,45,18,0.4,17,16,0.941,11,37,48,28,14,8,8,15,107.8,0.4516,0.3106,0.7956000000000001,39.8,21.4,17.6,-8.8,109.9,0.45360000000000006,0.3286,0.8079000000000001,39.3,23.4,17.4,-11.3,4.0
22019,0021900354,2019-12-10,1610612737,ATL,0,0,L,121,95,45,0.474,54,20,0.37,18,11,0.611,4,33,37,30,12,4,6,-14,111.8,0.4676,0.32580000000000003,0.8474,39.6,22.6,16.6,-4.0,112.0,0.4590000000000001,0.33999999999999997,0.826,40.4,24.6,16.8,-7.7,2.0
22019,0021900361,2019-12-11,1610612737,ATL,0,0,L,102,83,35,0.422,38,13,0.342,26,19,0.731,10,31,41,26,23,7,5,-34,115.2,0.4758,0.3436,0.7808,37.4,25.8,14.2,-6.6,111.4,0.4606,0.3318,0.8065,39.8,24.9,16.7,-8.3,1.0
